IoU,AvgIOU,TP,FP,FN,Precision,Recall,F1,file,folder,model
0.8500000000000003,0.3961526354059006,2,18,18,0.1,0.1,0.1,MIT_107,train,best_yolov8s.pt
0.9000000000000004,0.3859948757841534,1,19,19,0.05,0.05,0.05,MIT_107,train,best_yolov8s.pt
0.9500000000000004,0.3763450041307964,0,20,20,0.0,0.0,0.0,MIT_107,train,best_yolov8s.pt
0.5,0.8626674247807042,20,0,0,1.0,1.0,1.0,MIT_108,train,best_yolov8s.pt
0.55,0.8626674247807042,20,0,0,1.0,1.0,1.0,MIT_108,train,best_yolov8s.pt
0.6000000000000001,0.8626674247807042,20,0,0,1.0,1.0,1.0,MIT_108,train,best_yolov8s.pt
0.6500000000000001,0.8215880255568326,19,1,1,0.95,0.95,0.95,MIT_108,train,best_yolov8s.pt
0.7000000000000002,0.8215880255568326,19,1,1,0.95,0.95,0.95,MIT_108,train,best_yolov8s.pt
0.7500000000000002,0.8215880255568326,19,1,1,0.95,0.95,0.95,MIT_108,train,best_yolov8s.pt
0.8000000000000003,0.7501455916580835,17,3,3,0.85,0.85,0.85,MIT_108,train,best_yolov8s.pt
0.8500000000000003,0.6635903344111991,14,6,6,0.7,0.7,0.7,MIT_108,train,best_yolov8s.pt
0.9000000000000004,0.5391671505973238,8,12,12,0.4,0.4,0.4,MIT_108,train,best_yolov8s.pt
0.9500000000000004,0.4423935619458449,1,19,19,0.05,0.05,0.05,MIT_108,train,best_yolov8s.pt
0.5,0.7901024108666526,20,0,0,1.0,1.0,1.0,MIT_112,train,best_yolov8s.pt
0.55,0.7901024108666526,20,0,0,1.0,1.0,1.0,MIT_112,train,best_yolov8s.pt
0.6000000000000001,0.7901024108666526,20,0,0,1.0,1.0,1.0,MIT_112,train,best_yolov8s.pt
0.6500000000000001,0.7901024108666526,20,0,0,1.0,1.0,1.0,MIT_112,train,best_yolov8s.pt
0.7000000000000002,0.6870455791473862,17,3,3,0.85,0.85,0.85,MIT_112,train,best_yolov8s.pt
0.7500000000000002,0.5852610526731262,13,7,7,0.65,0.65,0.65,MIT_112,train,best_yolov8s.pt
0.8000000000000003,0.5448982228461117,11,9,9,0.55,0.55,0.55,MIT_112,train,best_yolov8s.pt
0.8500000000000003,0.43894579356915747,4,16,16,0.2,0.2,0.2,MIT_112,train,best_yolov8s.pt
0.9000000000000004,0.4051807333911469,1,19,19,0.05,0.05,0.05,MIT_112,train,best_yolov8s.pt
0.9500000000000004,0.3950512153096062,0,20,20,0.0,0.0,0.0,MIT_112,train,best_yolov8s.pt
0.5,0.7811160110798191,17,1,0,0.94,1.0,0.97,MIT_113,train,best_yolov8s.pt
0.55,0.7811160110798191,17,1,0,0.94,1.0,0.97,MIT_113,train,best_yolov8s.pt
0.6000000000000001,0.7811160110798191,17,1,0,0.94,1.0,0.97,MIT_113,train,best_yolov8s.pt
0.6500000000000001,0.7811160110798191,17,1,0,0.94,1.0,0.97,MIT_113,train,best_yolov8s.pt
0.7000000000000002,0.7030044138774171,15,3,2,0.83,0.88,0.86,MIT_113,train,best_yolov8s.pt
0.7500000000000002,0.6695280148107019,14,4,3,0.78,0.82,0.8,MIT_113,train,best_yolov8s.pt
0.8000000000000003,0.6390949246117196,13,5,4,0.72,0.76,0.74,MIT_113,train,best_yolov8s.pt
0.8500000000000003,0.502146017085955,7,11,10,0.39,0.41,0.4,MIT_113,train,best_yolov8s.pt
0.9000000000000004,0.4393777669117184,3,15,14,0.17,0.18,0.17,MIT_113,train,best_yolov8s.pt
0.9500000000000004,0.4135320166770806,1,17,16,0.06,0.06,0.06,MIT_113,train,best_yolov8s.pt
0.5,0.7248012922983158,18,2,2,0.9,0.9,0.9,MIT_114,train,best_yolov8s.pt
0.55,0.7248012922983158,18,2,2,0.9,0.9,0.9,MIT_114,train,best_yolov8s.pt
0.6000000000000001,0.7248012922983158,18,2,2,0.9,0.9,0.9,MIT_114,train,best_yolov8s.pt
0.6500000000000001,0.7248012922983158,18,2,2,0.9,0.9,0.9,MIT_114,train,best_yolov8s.pt
0.7000000000000002,0.6932881940033063,17,3,3,0.85,0.85,0.85,MIT_114,train,best_yolov8s.pt
0.7500000000000002,0.6644011871234605,16,4,4,0.8,0.8,0.8,MIT_114,train,best_yolov8s.pt
0.8000000000000003,0.6132934054642629,14,6,6,0.7,0.7,0.7,MIT_114,train,best_yolov8s.pt
0.8500000000000003,0.5498492622591372,11,9,9,0.55,0.55,0.55,MIT_114,train,best_yolov8s.pt
0.9000000000000004,0.4555893914221386,5,15,15,0.25,0.25,0.25,MIT_114,train,best_yolov8s.pt
0.9500000000000004,0.4088622755513325,1,19,19,0.05,0.05,0.05,MIT_114,train,best_yolov8s.pt
0.5,0.8126207043212077,20,1,0,0.95,1.0,0.98,MIT_115,train,best_yolov8s.pt
0.55,0.8126207043212077,20,1,0,0.95,1.0,0.98,MIT_115,train,best_yolov8s.pt
0.6000000000000001,0.8126207043212077,20,1,0,0.95,1.0,0.98,MIT_115,train,best_yolov8s.pt
0.6500000000000001,0.8126207043212077,20,1,0,0.95,1.0,0.98,MIT_115,train,best_yolov8s.pt
0.7000000000000002,0.8126207043212077,20,1,0,0.95,1.0,0.98,MIT_115,train,best_yolov8s.pt
0.7500000000000002,0.7110431205134561,17,4,3,0.81,0.85,0.83,MIT_115,train,best_yolov8s.pt
0.8000000000000003,0.6094655354964476,13,8,7,0.62,0.65,0.63,MIT_115,train,best_yolov8s.pt
0.8500000000000003,0.5332823459401163,9,12,11,0.43,0.45,0.44,MIT_115,train,best_yolov8s.pt
0.9000000000000004,0.44907987248121567,3,18,17,0.14,0.15,0.15,MIT_115,train,best_yolov8s.pt
0.9500000000000004,0.4162203704181877,0,21,20,0.0,0.0,0.0,MIT_115,train,best_yolov8s.pt
0.5,0.8457776445627563,20,0,0,1.0,1.0,1.0,MIT_116,train,best_yolov8s.pt
0.55,0.8457776445627563,20,0,0,1.0,1.0,1.0,MIT_116,train,best_yolov8s.pt
0.6000000000000001,0.8457776445627563,20,0,0,1.0,1.0,1.0,MIT_116,train,best_yolov8s.pt
0.6500000000000001,0.8457776445627563,20,0,0,1.0,1.0,1.0,MIT_116,train,best_yolov8s.pt
0.7000000000000002,0.8457776445627563,20,0,0,1.0,1.0,1.0,MIT_116,train,best_yolov8s.pt
0.7500000000000002,0.8457776445627563,20,0,0,1.0,1.0,1.0,MIT_116,train,best_yolov8s.pt
0.8000000000000003,0.7354588261553888,17,3,3,0.85,0.85,0.85,MIT_116,train,best_yolov8s.pt
0.8500000000000003,0.4975162717504853,6,14,14,0.3,0.3,0.3,MIT_116,train,best_yolov8s.pt
0.9000000000000004,0.4571771156717745,3,17,17,0.15,0.15,0.15,MIT_116,train,best_yolov8s.pt
0.9500000000000004,0.43373213598206756,1,19,19,0.05,0.05,0.05,MIT_116,train,best_yolov8s.pt
0.5,0.6945832481831127,20,3,1,0.87,0.95,0.91,MIT_118,train,best_yolov8s.pt
0.55,0.6945832481831127,20,3,1,0.87,0.95,0.91,MIT_118,train,best_yolov8s.pt
0.6000000000000001,0.6667999193671212,19,4,2,0.83,0.9,0.86,MIT_118,train,best_yolov8s.pt
0.6500000000000001,0.6667999193671212,19,4,2,0.83,0.9,0.86,MIT_118,train,best_yolov8s.pt
0.7000000000000002,0.6411537696086224,18,5,3,0.78,0.86,0.82,MIT_118,train,best_yolov8s.pt
0.7500000000000002,0.5953570734150314,16,7,5,0.7,0.76,0.73,MIT_118,train,best_yolov8s.pt
0.8000000000000003,0.49029406354952615,10,13,11,0.43,0.48,0.45,MIT_118,train,best_yolov8s.pt
0.8500000000000003,0.4167499558556999,4,19,17,0.17,0.19,0.18,MIT_118,train,best_yolov8s.pt
0.9000000000000004,0.39690472033507695,2,21,19,0.09,0.1,0.09,MIT_118,train,best_yolov8s.pt
0.9500000000000004,0.3788635970935081,0,23,21,0.0,0.0,0.0,MIT_118,train,best_yolov8s.pt
0.5,0.8379461727624298,20,1,0,0.95,1.0,0.98,MIT_12,train,best_yolov8s.pt
0.55,0.8379461727624298,20,1,0,0.95,1.0,0.98,MIT_12,train,best_yolov8s.pt
0.6000000000000001,0.8379461727624298,20,1,0,0.95,1.0,0.98,MIT_12,train,best_yolov8s.pt
0.6500000000000001,0.8379461727624298,20,1,0,0.95,1.0,0.98,MIT_12,train,best_yolov8s.pt
0.7000000000000002,0.8379461727624298,20,1,0,0.95,1.0,0.98,MIT_12,train,best_yolov8s.pt
0.7500000000000002,0.8379461727624298,20,1,0,0.95,1.0,0.98,MIT_12,train,best_yolov8s.pt
0.8000000000000003,0.7650812913424307,18,3,2,0.86,0.9,0.88,MIT_12,train,best_yolov8s.pt
0.8500000000000003,0.6768026841982505,15,6,5,0.71,0.75,0.73,MIT_12,train,best_yolov8s.pt
0.9000000000000004,0.567640964461814,10,11,10,0.48,0.5,0.49,MIT_12,train,best_yolov8s.pt
0.9500000000000004,0.4291919521162256,0,21,20,0.0,0.0,0.0,MIT_12,train,best_yolov8s.pt
0.5,0.8591436074465167,20,0,0,1.0,1.0,1.0,MIT_123,train,best_yolov8s.pt
0.55,0.8591436074465167,20,0,0,1.0,1.0,1.0,MIT_123,train,best_yolov8s.pt
0.6000000000000001,0.8591436074465167,20,0,0,1.0,1.0,1.0,MIT_123,train,best_yolov8s.pt
0.6500000000000001,0.8182320090400921,19,1,1,0.95,0.95,0.95,MIT_123,train,best_yolov8s.pt
0.7000000000000002,0.8182320090400921,19,1,1,0.95,0.95,0.95,MIT_123,train,best_yolov8s.pt
0.7500000000000002,0.8182320090400921,19,1,1,0.95,0.95,0.95,MIT_123,train,best_yolov8s.pt
0.8000000000000003,0.8182320090400921,19,1,1,0.95,0.95,0.95,MIT_123,train,best_yolov8s.pt
0.8500000000000003,0.5925128419159,11,9,9,0.55,0.55,0.55,MIT_123,train,best_yolov8s.pt
0.9000000000000004,0.5053786030204512,6,14,14,0.3,0.3,0.3,MIT_123,train,best_yolov8s.pt
0.9500000000000004,0.45218085673402864,2,18,18,0.1,0.1,0.1,MIT_123,train,best_yolov8s.pt
0.5,0.8110712410210738,20,0,0,1.0,1.0,1.0,MIT_124,train,best_yolov8s.pt
0.55,0.8110712410210738,20,0,0,1.0,1.0,1.0,MIT_124,train,best_yolov8s.pt
0.6000000000000001,0.8110712410210738,20,0,0,1.0,1.0,1.0,MIT_124,train,best_yolov8s.pt
0.6500000000000001,0.772448802811615,19,1,1,0.95,0.95,0.95,MIT_124,train,best_yolov8s.pt
0.7000000000000002,0.772448802811615,19,1,1,0.95,0.95,0.95,MIT_124,train,best_yolov8s.pt
0.7500000000000002,0.7052793446179727,17,3,3,0.85,0.85,0.85,MIT_124,train,best_yolov8s.pt
0.8000000000000003,0.5593594852459736,11,9,9,0.55,0.55,0.55,MIT_124,train,best_yolov8s.pt
0.8500000000000003,0.49155833757376916,7,13,13,0.35,0.35,0.35,MIT_124,train,best_yolov8s.pt
0.9000000000000004,0.4055356306489272,0,20,20,0.0,0.0,0.0,MIT_124,train,best_yolov8s.pt
0.9500000000000004,0.4055356306489272,0,20,20,0.0,0.0,0.0,MIT_124,train,best_yolov8s.pt
0.5,0.8046526351384259,19,0,1,1.0,0.95,0.97,MIT_125,train,best_yolov8s.pt
0.55,0.8046526351384259,19,0,1,1.0,0.95,0.97,MIT_125,train,best_yolov8s.pt
0.6000000000000001,0.8046526351384259,19,0,1,1.0,0.95,0.97,MIT_125,train,best_yolov8s.pt
0.6500000000000001,0.7663358448135861,18,1,2,0.95,0.9,0.92,MIT_125,train,best_yolov8s.pt
0.7000000000000002,0.7663358448135861,18,1,2,0.95,0.9,0.92,MIT_125,train,best_yolov8s.pt
0.7500000000000002,0.7663358448135861,18,1,2,0.95,0.9,0.92,MIT_125,train,best_yolov8s.pt
0.8000000000000003,0.7315023989053979,17,2,3,0.89,0.85,0.87,MIT_125,train,best_yolov8s.pt
0.8500000000000003,0.5549328604306307,10,9,10,0.53,0.5,0.51,MIT_125,train,best_yolov8s.pt
0.9000000000000004,0.44702925167755286,3,16,17,0.16,0.15,0.15,MIT_125,train,best_yolov8s.pt
0.9500000000000004,0.4126423870456094,0,19,20,0.0,0.0,0.0,MIT_125,train,best_yolov8s.pt
0.5,0.8377964297941493,20,0,0,1.0,1.0,1.0,MIT_126,train,best_yolov8s.pt
0.55,0.8377964297941493,20,0,0,1.0,1.0,1.0,MIT_126,train,best_yolov8s.pt
0.6000000000000001,0.8377964297941493,20,0,0,1.0,1.0,1.0,MIT_126,train,best_yolov8s.pt
0.6500000000000001,0.8377964297941493,20,0,0,1.0,1.0,1.0,MIT_126,train,best_yolov8s.pt
0.7000000000000002,0.8377964297941493,20,0,0,1.0,1.0,1.0,MIT_126,train,best_yolov8s.pt
0.7500000000000002,0.7979013636084786,19,1,1,0.95,0.95,0.95,MIT_126,train,best_yolov8s.pt
0.8000000000000003,0.6702371505376906,15,5,5,0.75,0.75,0.75,MIT_126,train,best_yolov8s.pt
0.8500000000000003,0.52362277843927,8,12,12,0.4,0.4,0.4,MIT_126,train,best_yolov8s.pt
0.9000000000000004,0.4409454998087873,2,18,18,0.1,0.1,0.1,MIT_126,train,best_yolov8s.pt
0.9500000000000004,0.4296392052318003,1,19,19,0.05,0.05,0.05,MIT_126,train,best_yolov8s.pt
0.5,0.7490308615964139,20,0,0,1.0,1.0,1.0,MIT_127,train,best_yolov8s.pt
0.55,0.7133627270284006,19,1,1,0.95,0.95,0.95,MIT_127,train,best_yolov8s.pt
0.6000000000000001,0.6809371500009995,18,2,2,0.9,0.9,0.9,MIT_127,train,best_yolov8s.pt
0.6500000000000001,0.6809371500009995,18,2,2,0.9,0.9,0.9,MIT_127,train,best_yolov8s.pt
0.7000000000000002,0.5992246952693778,15,5,5,0.75,0.75,0.75,MIT_127,train,best_yolov8s.pt
0.7500000000000002,0.48324572573269076,9,11,11,0.45,0.45,0.45,MIT_127,train,best_yolov8s.pt
0.8000000000000003,0.4539581068788192,7,13,13,0.35,0.35,0.35,MIT_127,train,best_yolov8s.pt
0.8500000000000003,0.3841183999189934,1,19,19,0.05,0.05,0.05,MIT_127,train,best_yolov8s.pt
0.9000000000000004,0.3745154401610925,0,20,20,0.0,0.0,0.0,MIT_127,train,best_yolov8s.pt
0.9500000000000004,0.3745154401610925,0,20,20,0.0,0.0,0.0,MIT_127,train,best_yolov8s.pt
0.5,0.8426309202572662,19,0,0,1.0,1.0,1.0,MIT_130,train,best_yolov8s.pt
0.55,0.8426309202572662,19,0,0,1.0,1.0,1.0,MIT_130,train,best_yolov8s.pt
0.6000000000000001,0.8004993763509801,18,1,1,0.95,0.95,0.95,MIT_130,train,best_yolov8s.pt
0.6500000000000001,0.8004993763509801,18,1,1,0.95,0.95,0.95,MIT_130,train,best_yolov8s.pt
0.7000000000000002,0.8004993763509801,18,1,1,0.95,0.95,0.95,MIT_130,train,best_yolov8s.pt
0.7500000000000002,0.7623803602446961,17,2,2,0.89,0.89,0.89,MIT_130,train,best_yolov8s.pt
0.8000000000000003,0.6960864187579374,15,4,4,0.79,0.79,0.79,MIT_130,train,best_yolov8s.pt
0.8500000000000003,0.5929625086872766,11,8,8,0.58,0.58,0.58,MIT_130,train,best_yolov8s.pt
0.9000000000000004,0.5003121196002144,6,13,13,0.32,0.32,0.32,MIT_130,train,best_yolov8s.pt
0.9500000000000004,0.4213154712158818,0,19,19,0.0,0.0,0.0,MIT_130,train,best_yolov8s.pt
0.5,0.8291190711289624,20,0,0,1.0,1.0,1.0,MIT_132,train,best_yolov8s.pt
0.55,0.8291190711289624,20,0,0,1.0,1.0,1.0,MIT_132,train,best_yolov8s.pt
0.6000000000000001,0.8291190711289624,20,0,0,1.0,1.0,1.0,MIT_132,train,best_yolov8s.pt
0.6500000000000001,0.7896372124791003,19,1,1,0.95,0.95,0.95,MIT_132,train,best_yolov8s.pt
0.7000000000000002,0.7209731100315309,17,3,3,0.85,0.85,0.85,MIT_132,train,best_yolov8s.pt
0.7500000000000002,0.7209731100315309,17,3,3,0.85,0.85,0.85,MIT_132,train,best_yolov8s.pt
0.8000000000000003,0.6909325650319065,16,4,4,0.8,0.8,0.8,MIT_132,train,best_yolov8s.pt
0.8500000000000003,0.5349155392510574,9,11,11,0.45,0.45,0.45,MIT_132,train,best_yolov8s.pt
0.9000000000000004,0.46062171641879457,4,16,16,0.2,0.2,0.2,MIT_132,train,best_yolov8s.pt
0.9500000000000004,0.425189277602796,1,19,19,0.05,0.05,0.05,MIT_132,train,best_yolov8s.pt
0.5,0.8319240764344268,20,0,0,1.0,1.0,1.0,MIT_134,train,best_yolov8s.pt
0.55,0.8319240764344268,20,0,0,1.0,1.0,1.0,MIT_134,train,best_yolov8s.pt
0.6000000000000001,0.8319240764344268,20,0,0,1.0,1.0,1.0,MIT_134,train,best_yolov8s.pt
0.6500000000000001,0.8319240764344268,20,0,0,1.0,1.0,1.0,MIT_134,train,best_yolov8s.pt
0.7000000000000002,0.7923086461097126,19,1,1,0.95,0.95,0.95,MIT_134,train,best_yolov8s.pt
0.7500000000000002,0.7562946183780906,18,2,2,0.9,0.9,0.9,MIT_134,train,best_yolov8s.pt
0.8000000000000003,0.6655392678029338,15,5,5,0.75,0.75,0.75,MIT_134,train,best_yolov8s.pt
0.8500000000000003,0.5041964198913998,7,13,13,0.35,0.35,0.35,MIT_134,train,best_yolov8s.pt
0.9000000000000004,0.44968870029524094,3,17,17,0.15,0.15,0.15,MIT_134,train,best_yolov8s.pt
0.9500000000000004,0.4159620486162641,0,20,20,0.0,0.0,0.0,MIT_134,train,best_yolov8s.pt
0.5,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.55,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.6000000000000001,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.6500000000000001,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.7000000000000002,0.8565472316642819,20,0,0,1.0,1.0,1.0,MIT_136,train,best_yolov8s.pt
0.7500000000000002,0.815759270193981,19,1,1,0.95,0.95,0.95,MIT_136,train,best_yolov8s.pt
0.8000000000000003,0.7448236845656168,17,3,3,0.85,0.85,0.85,MIT_136,train,best_yolov8s.pt
0.8500000000000003,0.6118194599290504,12,8,8,0.6,0.6,0.6,MIT_136,train,best_yolov8s.pt
0.9000000000000004,0.4629985142387664,3,17,17,0.15,0.15,0.15,MIT_136,train,best_yolov8s.pt
0.9500000000000004,0.42827362653898116,0,20,20,0.0,0.0,0.0,MIT_136,train,best_yolov8s.pt
0.5,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.55,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.6000000000000001,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.6500000000000001,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.7000000000000002,0.8129388600335375,19,0,1,1.0,0.95,0.97,MIT_137,train,best_yolov8s.pt
0.7500000000000002,0.7742274875896249,18,1,2,0.95,0.9,0.92,MIT_137,train,best_yolov8s.pt
0.8000000000000003,0.7390353306624673,17,2,3,0.89,0.85,0.87,MIT_137,train,best_yolov8s.pt
0.8500000000000003,0.6774490556733564,15,4,5,0.79,0.75,0.77,MIT_137,train,best_yolov8s.pt
0.9000000000000004,0.43942642092387,2,17,18,0.11,0.1,0.1,MIT_137,train,best_yolov8s.pt
0.9500000000000004,0.4168917332491764,0,19,20,0.0,0.0,0.0,MIT_137,train,best_yolov8s.pt
0.5,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.55,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.6000000000000001,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.6500000000000001,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.7000000000000002,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.7500000000000002,0.8246312268725444,20,0,1,1.0,0.95,0.98,MIT_138,train,best_yolov8s.pt
0.8000000000000003,0.7871479909912121,19,1,2,0.95,0.9,0.93,MIT_138,train,best_yolov8s.pt
0.8500000000000003,0.5971467583382035,12,8,9,0.6,0.57,0.59,MIT_138,train,best_yolov8s.pt
